Symbol,Company_Name,LTP,Marketcap,Nepse_Weight
HFIN,Hotel Forest Inn Limited,111.8,2236000000.0,0.05 %
HHL,Himalayan Hydropower Limited,371.0,4062450000.0,0.09 %
HIDCL,Hydroelectricity Investment and Development Company Ltd,298.5,74410707432.07,1.57 %
HIDCLP,Hydroelectricity Investment and Development Company Limited (Promoter),220.0,7260000000.0,0.15 %
HIMSTAR,Him Star Urja Company Limited,999.0,3726270000.0,0.08 %
HLBSL,Himalayan Laghubitta Bittiya Sanstha Ltd.,950.0,3240318047.85,0.07 %
HLI,Himalayan Life Insurance Limited,386.5,35338612179.96,0.74 %
HPPL,Himalayan Power Partner Ltd.,518.0,5518860060.0,0.12 %
HRL,Himalayan Reinsurance Limited,888.0,96507840000.0,2.03 %
HURJA,Himalaya Urja Bikas Company Limited,302.0,5979600000.0,0.13 %
ICFC,ICFC Finance Limited,675.0,7988428980.0,0.17 %
IGI,IGI Prudential Insurance Limited,455.1,13786503585.0,0.29 %
IHL,Ingwa Hydropower Limited,538.9,3233400000.0,0.07 %
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,967.0,4810074196.33,0.10 %
ILI,IME Life Insurance Company Limited,461.0,23050000000.0,0.49 %
JBBL,Jyoti Bikas Bank Limited,356.0,15648997768.4,0.33 %
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,1370.0,23991780562.42,0.51 %
JFL,Janaki Finance Ltd.,452.0,3120937240.87,0.07 %
JHAPA,Jhapa Energy limited,1464.0,5565981600.0,0.12 %
JOSHI,Joshi Hydropower Development Company Ltd,315.1,1930964310.0,0.04 %
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,1177.0,2001981663.0,0.04 %
KBL,Kumari Bank Limited,223.0,58483675382.0,1.23 %
KBSH,Kutheli Bukhari Small Hydropower Limited,1700.0,2506814475.0,0.05 %
KDL,Kalinchowk Darshan Limited,918.0,5783400000.0,0.12 %
KKHC,Khanikhola Hydropower Co. Ltd.,309.0,2878114374.0,0.06 %
KMCDB,Kalika Microcredit Development Bank Ltd.,958.5,4298503796.69,0.09 %
KPCL,Kalika power Company Ltd,548.1,5477305614.16,0.12 %
KSBBL,Kamana Sewa Bikas Bank Limited,488.0,18846222783.49,0.40 %
LBBL,Lumbini Bikas Bank Ltd.,505.7,18325011647.56,0.39 %
LEC,Liberty Energy Company Limited,251.5,5658750000.0,0.12 %
LICN,Life Insurance Co. Nepal,881.7,48493499745.51,1.02 %
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1005.0,4438704105.0,0.09 %
LSL,Laxmi Sunrise Bank Limited,224.7,60177274681.78,1.27 %
MABEL,Mabilung Energy Ltd,780.0,3009427200.0,0.06 %
MAKAR,Makar Jitumaya Suri Hydropower Company Limited,565.0,4294000000.0,0.09 %
MANDU,Mandu Hydropower Limited,849.0,11577278130.0,0.24 %
MATRI,Matribhumi Laghubitta Bittiya Sanstha,977.9,6144707014.6,0.13 %
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,311.0,18660000000.0,0.39 %
MBL,Machhapuchhre Bank Limited,250.5,30275959965.38,0.64 %
MCHL,Menchhiyam Hydropower Limited,421.0,2284275693.0,0.05 %
MDB,Miteri Development Bank Limited,661.9,8055984266.83,0.17 %
MEHL,Manakamana Engineering Hydropower Limited,479.0,3832000000.0,0.08 %
MEL,Modi Energy Limited,300.5,8714500000.0,0.18 %
MEN,Mountain Energy Nepal Limited,624.7,19510998029.7,0.41 %
MERO,Mero Microfinance Bittiya Sanstha Ltd.,741.0,11014242525.0,0.23 %
MFIL,Manjushree Finance Ltd.,854.0,11542257598.48,0.24 %
MHCL,Molung Hydropower Company Limited,383.0,3073575000.0,0.06 %
MHL,Mandakini Hydropower Limited,548.5,3547517463.35,0.07 %
MHNL,Mountain Hydro Nepal Limited,287.1,3588750000.0,0.08 %
MKCL,Muktinath Krishi Company Limited,1407.0,10636920000.0,0.22 %
